neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,price
1,40.63948,-73.95008,1,1,35,50
1,40.64004,-73.94933,1,1,43,50
1,40.66209,-73.92913,2,1,23,50
1,40.64798,-73.94492,1,7,7,50
1,40.66067,-73.93796,1,2,16,50
1,40.63602,-73.93105,1,30,32,50
1,40.66182,-73.93748,1,2,21,50
1,40.65292,-73.94269,1,1,0,50
1,40.6458,-73.94586,1,1,8,50
1,40.6534,-73.9439,1,1,24,50
1,40.64745,-73.94413,1,6,0,50
1,40.65467,-73.94967,3,2,8,50
1,40.64834,-73.95161,1,1,37,50
1,40.65329,-73.92756,2,7,1,50
1,40.64251,-73.93926,1,2,32,50
1,40.64574,-73.94675,1,1,46,50
1,40.63685,-73.93094,1,4,12,50
1,40.64206,-73.94059,1,2,17,50
1,40.64627,-73.93164,1,3,3,50
1,40.66008,-73.92122,1,2,5,50
1,40.64423,-73.94683,1,2,2,50
1,40.63964,-73.94362,2,1,8,50
1,40.64895,-73.94838,1,1,245,53
1,40.64434,-73.94635,1,2,2,53
1,40.65245,-73.93752,1,30,0,53
1,40.65438,-73.93676,1,30,1,53
1,40.65385,-73.93657,1,19,0,53
1,40.65405,-73.93657,1,30,0,53
1,40.65854,-73.93913,1,2,5,53
1,40.65214,-73.95159,1,1,15,53
1,40.65058,-73.94859,1,2,63,54
1,40.65438,-73.95181,1,1,14,54
1,40.65982,-73.93468,1,2,0,54
1,40.63213,-73.94598,1,4,10,55
1,40.63401,-73.93808,3,1,47,55
1,40.63524,-73.94158,1,4,18,55
1,40.63621,-73.94968,1,3,1,55
1,40.65074,-73.91633,3,1,38,55
1,40.65823,-73.93459,1,1,0,55
1,40.65229,-73.95139,1,1,0,55
1,40.6455,-73.9444,3,1,82,56
1,40.64885,-73.94681,1,1,206,57
1,40.65246,-73.93791,1,30,0,57
1,40.65351,-73.93768,1,30,0,57
1,40.65279,-73.93817,1,30,0,57
1,40.65429,-73.93601,1,30,0,57
1,40.64391,-73.94833,3,1,6,57
1,40.64521,-73.94751,1,2,9,58
1,40.64627,-73.92014,1,2,2,58
1,40.64516,-73.94751,1,2,10,59
1,40.65035,-73.94895,1,2,22,59
1,40.64168,-73.95026,1,2,16,59
1,40.65937,-73.9348,1,1,3,59
1,40.64851,-73.94667,1,1,356,60
1,40.66303,-73.92526,1,2,6,60
1,40.64335,-73.94888,1,2,9,60
1,40.6536,-73.92643,1,2,16,60
1,40.65062,-73.93487,1,2,20,60
1,40.6327,-73.93922,1,1,5,60
1,40.63794,-73.93125,3,2,46,60
1,40.63654,-73.94862,2,1,1,60
1,40.65562,-73.93952,1,3,3,60
1,40.65285,-73.943,1,3,11,60
1,40.6499,-73.91499,1,3,2,60
1,40.65904,-73.92334,1,1,2,60
1,40.65926,-73.93468,1,2,1,60
1,40.65214,-73.93126,3,2,85,62
1,40.63845,-73.94365,3,1,0,63
1,40.64446,-73.9503,3,3,238,65
1,40.64434,-73.94831,1,1,0,65
1,40.6628,-73.93397,1,2,24,65
1,40.65478,-73.95264,1,3,51,65
1,40.65056,-73.94994,3,2,14,65
1,40.64946,-73.92839,1,2,24,65
1,40.65181,-73.91672,1,1,4,65
1,40.65612,-73.91788,1,7,4,65
1,40.64844,-73.95032,1,2,4,65
1,40.64656,-73.95016,3,2,20,65
1,40.63458,-73.94554,1,2,6,66
1,40.64913,-73.92525,1,5,17,67
1,40.64942,-73.92482,1,5,50,67
1,40.6506,-73.92553,1,3,6,67
1,40.64998,-73.92358,1,3,0,67
1,40.65875,-73.93698,1,1,18,68
1,40.63718,-73.94061,3,2,36,69
1,40.66093,-73.93893,1,1,18,69
1,40.6541,-73.93834,1,3,0,69
1,40.64335,-73.92981,1,1,0,70
1,40.63291,-73.94302,3,2,62,70
1,40.6497,-73.94754,1,2,85,70
1,40.63568,-73.94746,1,4,0,70
1,40.65553,-73.93642,1,2,13,70
1,40.65435,-73.93785,1,3,3,70
